Title,Star,Rating,Year,Time,Count,Genre,Age
시동,8.46,27.76,2019,102,53490,드라마,40
겨울왕국 2,8.68,12.56,2019,103,12256683,애니메이션,10
포드 V 페라리,9.56,3.73,2019,152,952767,액션,50
쥬만지: 넥스트 레벨,6.07,2.39,2019,122,915365,액션,20
나이브스 아웃,9.13,2.0,2019,130,499446,미스터리,20
감쪽같은 그녀,7.54,0.47,2019,104,457174,드라마,50
카운트다운,6.77,0.47,2019,90,65990,공포,10
윤희에게,9.18,0.28,2019,105,110701,멜로/로맨스,40
두 교황,8.97,0.28,2019,126,7092,드라마,30
라스트 크리스마스,6.74,0.24,2019,103,241362,멜로/로맨스,10
파비안느에 관한 진실,8.36,0.21,2019,107,28020,드라마,20
극장판 타오르지마 버스터 - 블랙어썰트의 귀환,9.72,0.11,2019,73,12884,애니메이션,30
대통령의 7시간,6.25,0.1,2019,79,27453,다큐멘터리,20
결혼 이야기,9.12,0.1,2019,137,17442,코미디,30
아내를 죽였다,5.66,0.09,2019,97,87956,스릴러,40
이태원,9.85,0.08,2019,94,1718,다큐멘터리,20
프란치스코 교황: 맨 오브 히스 워드,8.56,0.08,2019,96,30398,다큐멘터리,30
러브 액츄얼리,8.95,0.08,2019,130,308648,멜로/로맨스,40
속물들,8.73,0.08,2019,107,2235,드라마,30
아이리시맨,8.92,0.07,2019,209,32104,범죄,20
벌새,8.90,0.05,2019,138,143170,드라마,20
영화로운 나날,9.32,0.04,2019,87,1040,멜로/로맨스,20
메기,8.30,0.04,2019,89,38307,드라마,20
82년생 김지영,6.69,0.04,2019,118,3676777,드라마,50
나를 찾아줘,7.08,0.04,2019,108,644629,스릴러,50
러브 앳,9.26,,2019,118,91001,멜로/로맨스,20
아스테릭스: 마법 물약의 비밀,8.62,0.04,2019,75,7172,애니메이션,30
월성,7.74,0.04,2019,83,3246,다큐멘터리,10
날씨의 아이,7.89,0.04,2019,112,654437,애니메이션,40
디에고,8.75,0.03,2019,130,7007,다큐멘터리,10
샐린저,10.00,0.02,2019,128,833,다큐멘터리,10
블랙머니,8.51,0.02,2019,113,2476402,범죄,50
경계선,8.33,0.02,2019,110,,판타지,50
아비정전,8.48,0.02,2017,100,,드라마,20
블랙 스완,8.69,0.02,2019,108,1630158,드라마,20
교회오빠,9.27,0.02,2019,85,111378,다큐멘터리,50
어메이징 그레이스,8.61,0.02,2019,89,4643,다큐멘터리,20
헤로니모,9.62,0.02,2019,93,11020,다큐멘터리,20
우리를 갈라놓는 것들,8.91,0.02,2019,100,1434,다큐멘터리,30
굿 라이어,8.31,0.02,2019,109,26076,스릴러,50
집 이야기,9.31,0.01,2019,92,9306,드라마,20
카센타,7.26,0.01,2019,97,14780,범죄,40
기생충,8.47,0.01,2019,131,,드라마,50
코끼리는 그곳에 있어,9.09,0.01,2019,234,1275,드라마,20
더 컨덕터,8.84,0.01,2019,139,10646,드라마,20
디아스포라의 노래 : 아리랑로드,10.00,0.01,2019,86,574,다큐멘터리,20
수퍼 디스코,9.47,0.01,2019,90,1465,다큐멘터리,30
접속,8.71,,1997,106,1670,멜로/로맨스,20
"나, 다니엘 블레이크",9.28,0.01,2016,100,98622,드라마,50
터미네이터: 다크 페이트,8.63,0.01,2019,128,2408680,SF,50
삽질,6.44,0.01,2019,94,14620,다큐멘터리,40
지구 최후의 밤,7.57,0.01,2019,138,,드라마,20
라스트 씬,7.75,0.01,2019,90,235,다큐멘터리,30
심판,8.97,0.01,2019,106,,드라마,40
네루다,7.50,0.01,2017,107,,드라마,20
무뢰한,7.83,,2015,118,415333,멜로/로맨스,20
해피 엔드,8.27,,1999,99,,스릴러,10
부에나 비스타 소셜 클럽,8.77,0.01,2015,105,,다큐멘터리,50
보리밭을 흔드는 바람,8.46,0.01,2006,126,13556,전쟁,20
캐롤,8.57,0.01,2016,118,,드라마,40
킹 오브 프리즘,9.17,0.01,2018,60,,드라마,20
모리스,8.83,0.01,2019,140,,드라마,30
킹 오브 프리즘 프라이드 더 히어로,9.13,0.01,2018,70,,애니메이션,20
류이치 사카모토: 코다,8.92,0.01,2018,101,,다큐멘터리,40
주전장,9.49,0.01,2019,121,,다큐멘터리,20
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오x유우x알렉,6.50,0.01,2019,71,,애니메이션,20
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅳ 루이x신x언노운,6.29,0.01,2019,70,,애니메이션,20
킹 오브 프리즘-샤이니 세븐 스타즈- ⅱ 카케루x조지x미나토,2.41,0.01,2019,71,,애니메이션,20
킹 오브 프리즘 -샤이니 세븐 스타즈-,2.07,0.01,2019,70,,애니메이션,30
영하의 바람,8.70,0.01,2019,110,,드라마,20
어제 일은 모두 괜찮아,9.22,,2019,107,14864,드라마,10
라 파미에,10.00,0.01,2019,105,572,드라마,10
행동하는 양심 김대중,2.99,0.01,2019,72,5055,다큐멘터리,50
더 킹: 헨리 5세,8.54,0.01,2019,140,,드라마,20
매리,6.97,0.01,2019,85,7035,공포,20
본 투 드라이브,0.00,0.01,2019,92,166,다큐멘터리,10
산타 앤 컴퍼니,8.67,0.01,2019,100,2260,코미디,10
삼촌,8.51,0.01,2019,100,687,미스터리,20
드래곤 빌리지,6.33,0.01,2019,61,3568,애니메이션,10
신의 한 수: 귀수편,7.86,0.01,2019,106,2155747,범죄,50
10년,7.83,0.01,2019,99,1239,드라마,10
녹차의 중력,0.00,0.01,2019,130,173,다큐멘터리,10
더하우스,6.00,0.01,2019,75,1240,공포,10
그날은 오리라,0.00,0.01,2019,130,95,드라마,10
레토,8.40,0.01,2019,128,,드라마,50
앵커,9.36,0.01,2019,78,630,드라마,20
허슬러,6.88,0.01,2019,110,,범죄,20
북간도의 십자가,7.74,0.01,2019,84,9732,다큐멘터리,40
서칭 포 슈가맨,9.00,0.01,2012,86,,다큐멘터리,20
어멍,10.00,0.01,2019,95,331,,10
얼굴없는 보스,3.37,0.01,2019,114,23707,느와르,50
엔젤 해즈 폴른,8.44,0.01,2019,121,181057,액션,20
위!,7.59,0.01,2019,99,1263,드라마,50
패트와 매트: 우당탕탕 크리스마스,2.34,0.01,2019,77,,애니메이션,20
겁쟁이 페달: 더 무비,8.97,0.01,2016,90,,애니메이션,50
겁쟁이 페달: 리라이드,9.46,0.01,2016,89,,애니메이션,40
겁쟁이 페달: 리로드,8.93,0.01,2016,90,,애니메이션,20
겁쟁이 페달: 스페어바이크,8.65,0.01,2016,60,,애니메이션,20
겨울왕국,9.12,0.01,2014,108,,애니메이션,10
"광해, 왕이 된 남자",9.24,0.01,2012,131,,드라마,10
기적,8.47,0.01,1987,121,,드라마,10
메리 포핀스,9.24,0.01,1979,140,,가족,10
미드나잇 인 파리,8.55,0.01,2016,94,,코미디,20
버블 패밀리,9.56,0.01,2018,78,,다큐멘터리,20
별의 정원,9.42,0.01,2019,75,,애니메이션,30
부러진 창,7.00,0.01,1965,96,,모험,10
비틀즈: 하드 데이즈 나이트,8.68,0.01,2016,88,,코미디,20
사랑을 합시다,7.00,0.01,1961,119,,코미디,20
설리반의 여행,8.57,0.01,2004,90,,코미디,10
슈퍼소닉,9.24,0.01,2016,122,,다큐멘터리,10
시빌,7.70,0.01,2019,101,5136,드라마,20
어떤 하루,7.77,0.01,2017,92,219,드라마,40
재혼의 기술,7.29,0.01,2019,82,1510,멜로/로맨스,40
지금 이순간,10.00,0.01,2019,88,,드라마,10
차타레 부인의 사랑,6.76,0.01,2019,104,,드라마,10
천지창조,7.64,0.01,1986,165,,,10
체크 히어로,8.12,0.01,2019,75,,애니메이션,30
쿵푸 허슬,8.62,0.01,2005,101,,코미디,10
타이페이 스토리,8.17,0.01,2019,119,4332,드라마,20
포레스트 검프,9.39,0.01,2016,142,,드라마,20
멋진 하루,8.17,,2008,123,397576,드라마,10
미스 사이공: 25주년 특별 공연,9.20,,2016,175,,공연실황,10
밀양,7.87,,2007,141,,드라마,10
